Time,X,Y,Z,VX,VY,VZ,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate
1.8200,0.0000,0.0000,2.9803,0.0000,0.0000,-2.7840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8300,0.0000,0.0000,2.9521,0.0000,0.0000,-2.8236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8400,0.0000,0.0000,2.9234,0.0000,0.0000,-2.8616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8500,0.0000,0.0000,2.8945,0.0000,0.0000,-2.8980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8600,0.0000,0.0000,2.8651,0.0000,0.0000,-2.9330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8700,0.0000,0.0000,2.8355,0.0000,0.0000,-2.9664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8800,0.0000,0.0000,2.8055,0.0000,0.0000,-2.9982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8900,0.0000,0.0000,2.7752,0.0000,0.0000,-3.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9000,0.0000,0.0000,2.7446,0.0000,0.0000,-3.0570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9100,0.0000,0.0000,2.7138,0.0000,0.0000,-3.0841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9200,0.0000,0.0000,2.6827,0.0000,0.0000,-3.1095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9300,0.0000,0.0000,2.6514,0.0000,0.0000,-3.1334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9400,0.0000,0.0000,2.6198,0.0000,0.0000,-3.1556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9500,0.0000,0.0000,2.5880,0.0000,0.0000,-3.1762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9600,0.0000,0.0000,2.5561,0.0000,0.0000,-3.1951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9700,0.0000,0.0000,2.5240,0.0000,0.0000,-3.2124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9800,0.0000,0.0000,2.4917,0.0000,0.0000,-3.2281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9900,0.0000,0.0000,2.4593,0.0000,0.0000,-3.2421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0000,0.0000,0.0000,2.4267,0.0000,0.0000,-3.2545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0100,0.0000,0.0000,2.3941,0.0000,0.0000,-3.2652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0200,0.0000,0.0000,2.3613,0.0000,0.0000,-3.2743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0300,0.0000,0.0000,2.3285,0.0000,0.0000,-3.2818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0400,0.0000,0.0000,2.2956,0.0000,0.0000,-3.2876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0500,0.0000,0.0000,2.2627,0.0000,0.0000,-3.2917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0600,0.0000,0.0000,2.2298,0.0000,0.0000,-3.2943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
